Ранг;Название;Категория;Приоритет;Вероятность %;Адрес;Телефон;Email;Instagram;Facebook;Сайт/Домен;Источник;Вид связи;Заметки
1;Abdulboriy Stom;Медицина;1;90;"Юнусабадский р-н, Юнусабад-10, 13";"+998 99 838-31-13; +998 93 565-48-46";;;"abdulboriystom";"a-stom.uz (Coming Soon)";"yellowpages.uz";"Facebook / WhatsApp";"🔥 ГОРЯЧИЙ ЛИД — домен куплен, ждут помощи"
2;King Bear Barbershop;Красота;2;80;"Мирзо-Улугбекский р-н, просп. Мирзо Улугбека, 103";"+998 94 448-85-58";"kingbearbarb@gmail.com";;;"нет";"yellowpages.uz";"Email / WhatsApp";"Есть email и телефон — контактировать сразу"
3;Akrom Stom;Медицина;1;80;"Учтепинский р-н, Чиланзар-11, 18";"Уточнить: yellowpages.uz";;"@akrom.stom";;"нет";"yellowpages.uz";"Instagram Direct";"Есть Instagram — цифровой бизнес, поймёт ценность"
4;Aesthetic & Implant Clinic;Медицина;1;75;"Чиланзарский р-н, ул. Заргарлик, 41/1";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Имплантология — 1 пациент из Google = окупает сайт"
5;Aider Med;Медицина;1;75;"Сергелийский р-н, м-в Сергели-6А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Новый активно строящийся район — конкуренция за онлайн"
6;Akmal Denta Lyuks;Медицина;1;75;"Юнусабадский р-н, Юнусабад-9, 12/116";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Люкс-позиционирование требует сайта"
7;Салон красоты «Miyabi»;Красота;2;70;"Яшнабадский р-н, Авиасозлар-2, 14";"Уточнить: top.uz";"miyabi2010@yandex.ru";;;"нет";"top.uz";"Email";"Есть email — написать напрямую"
8;Салон красоты «Aziya»;Красота;2;70;"Ташкент";"Уточнить: top.uz";"grandaziya@mail.ru";;;"нет";"top.uz";"Email";"Есть email — написать напрямую"
9;Abdulaziz Stom;Медицина;1;70;"Чиланзарский р-н, м-в Чиланзар-19, 2";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
10;Genius Education Center;Образование;1;70;"Сергелийский р-н, Куйлюк-5";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Родители ищут центры в Google — ROI очевиден"
11;Aleya Dent;Медицина;1;65;"Чиланзарский р-н, ул. Гагарина, 65";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
12;Ali-Dent;Медицина;1;65;"Юнусабадский р-н, Юнусабад-13, 64";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Спальный район — онлайн-запись критична"
13;Alisher Stom;Медицина;1;65;"Чиланзарский р-н, Чиланзар-6, 38";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
14;Akmal Stom;Медицина;1;65;"Чиланзарский р-н, ул. Шарк, 25/83";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
15;Kelajakning Sardorlari Education Center;Образование;1;60;"Шайхантахурский р-н, Лабзак, 12А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Узбекская аудитория — может меньше ценить онлайн"
16;Perfect Lashes;Красота;2;60;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";"Визуальный бизнес — нужен сайт-портфолио"
17;Inova Fitness;Спорт;3;55;"Каракамыш-1/1, 27А";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
18;Challenge Центр;Спорт;3;55;"ул. Чуст, 1";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";""
19;Life Fitness Club;Спорт;3;55;"Мирабадский р-н, ул. Афросиаб, 14";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить / WhatsApp";"Проверить Instagram"
20;Ресторан «Afruz»;Кафе;3;50;"Чиланзарский р-н, Чиланзар-9, 40";"+998 90 994-32-33; +998 97 155-22-01";"afruz_net@mail.ru";;;"нет";"yellowpages.uz";"Email / WhatsApp";"Есть контакты — проще выйти на связь"
21;Ресторан «Mezon»;Кафе;4;50;"Чиланзарский р-н, Чиланзар-Ц, 4А";"+998 71 140-35-04; +998 90 176-45-65";"info@hls.uz";;;"нет";"yellowpages.uz";"Email / WhatsApp";"Есть контакты"
22;Angel's Drive Кафе;Кафе;4;50;"Мирабадский р-н, ул. Афросиаб, 16";"+998 90 322-22-18";;;"angelsdrive.uz";"нет";"yellowpages.uz";"WhatsApp / Facebook";"Уже на Wolt — понимает онлайн"
23;Broadway Lounge Bar;Кафе;1;50;"Юнусабадский р-н, ул. Матбуотчилар, 17";"Уточнить: yellowpages.uz";;;;"нет";"yellowpages.uz";"Позвонить";"Lounge — аудитория платёжеспособная"
24;Салон «Adajio»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
25;Ahn's Beauty Salon;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
26;Салон красоты «Antar»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
27;Салон «Argosharm»;Красота;2;45;"Ташкент";"Уточнить: top.uz";;;;"нет";"top.uz";"Позвонить / WhatsApp";""
